Ejercicio,Ficha de Cliente,Responsable,Creador,Última Modificación por,Planificación Actual,Semanas en Curso,Fecha de Inicio,Fecha de Fin,Semanas de Inicio a Fin,Última Modificación,Programa de Entrenamiento,División de la Rutina,Sesión,Orden,Ficha de Ejercicios,URL Vídeo Tutorial Ejercicio,Sistema de Entrenamiento,URL Vídeo Tutorial Sistema,Series,Repeticiones,Tempo,Descanso
1) Sentadilla Hack,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,1,Sentadilla Hack,Enlace al vídeo explicativo,Series Rectas,Enlace al vídeo explicativo,4,8,Pausa Final Excéntrica,El necesario para rendir al 100%
2) Press De Banca Plano Con Barra ,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,2,Press De Banca Plano Con Barra ,Enlace al vídeo explicativo,Series Rectas,Enlace al vídeo explicativo,4,8,Pausa Final Excéntrica,El necesario para rendir al 100%
3) Remo con Barra,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,3,Remo con Barra,Enlace al vídeo explicativo,Series Rectas,Enlace al vídeo explicativo,4,8,Pausa Final Excéntrica,El necesario para rendir al 100%
4) Curl Femoral Sentado,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,4,Curl Femoral Sentado,Enlace al vídeo explicativo,Repeticiones Totales,Enlace al vídeo explicativo,4,30,Pausa Final Excéntrica y Concéntrica,El necesario para rendir al 100%
5) Curl De Bíceps Con Mancuernas En Banco Inclinado,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,5,Curl De Bíceps Con Mancuernas En Banco Inclinado,Enlace al vídeo explicativo,Repeticiones Totales,Enlace al vídeo explicativo,3,30,Pausa Final Excéntrica y Concéntrica,El necesario para rendir al 100%
6) Elevaciones Laterales con Mancuernas de Pie,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,6,Elevaciones Laterales con Mancuernas de Pie,Enlace al vídeo explicativo,Repeticiones Totales,Enlace al vídeo explicativo,3,30,Pausa Final Excéntrica y Concéntrica,El necesario para rendir al 100%
7) Encogimientos De Abdomen En Polea,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body A,7,Encogimientos De Abdomen En Polea,Enlace al vídeo explicativo,Repeticiones Totales,Enlace al vídeo explicativo,3,30,Pausa Final Excéntrica y Concéntrica,El necesario para rendir al 100%
1) Peso Muerto Convencional Deadstop,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body B,1,Peso Muerto Convencional Deadstop,Enlace al vídeo explicativo,Series Rectas,Enlace al vídeo explicativo,4,8,Pausa Final Excéntrica,El necesario para rendir al 100%
2) Press Militar con Barra de Pie,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body B,2,Press Militar con Barra de Pie,Enlace al vídeo explicativo,Series Rectas,Enlace al vídeo explicativo,4,8,Pausa Final Excéntrica,El necesario para rendir al 100%
3) Dominadas con Agarre Neutro,"José Pérez ,José Pérez ",Jose C. de Francisco,Jose C. de Francisco,Jose C. de Francisco,checked,Semana 20,6/1/2025,,Rutina Actual ✅,7/4/2025,"Full Body - José Pérez , José Pérez  ✅",Full Body,Full Body B,3,Dominadas con Agarre Neutro,Enlace al vídeo explicativo,Series Rectas,Enlace al vídeo explicativo,4,8,Pausa Final Excéntrica y Concéntrica,El necesario para rendir al 100%
